Order ID,Trade date,Instrument code,Market code,Quantity,Price,Transaction type,Exchange rate,Transaction fee,Currency,Amount,Transaction method
f6eacb9c-2bbb-4a10-beff-ca9c05aaf997,2020-10-05,CBD,NZX,12,0.880,SELL,,0.05280,NZD,10.51,MARKET_TRADE
f6eacb9c-2bbb-4a10-beff-ca9c05aaf997,2020-10-05,CBD,NZX,25,0.880,SELL,,0.11000,NZD,21.89,MARKET_TRADE
f6eacb9c-2bbb-4a10-beff-ca9c05aaf997,2020-10-05,CBD,NZX,57,0.880,SELL,,0.25080,NZD,49.91,MARKET_TRADE
f6eacb9c-2bbb-4a10-beff-ca9c05aaf997,2020-10-05,CBD,NZX,34,0.880,SELL,,0.14960,NZD,29.77,MARKET_TRADE
f6eacb9c-2bbb-4a10-beff-ca9c05aaf997,2020-10-05,CBD,NZX,4,0.880,SELL,,0.01760,NZD,3.50,MARKET_TRADE
f6eacb9c-2bbb-4a10-beff-ca9c05aaf997,2020-10-05,CBD,NZX,12,0.880,SELL,,0.05280,NZD,10.51,MARKET_TRADE
f6eacb9c-2bbb-4a10-beff-ca9c05aaf997,2020-10-05,CBD,NZX,29,0.880,SELL,,0.12760,NZD,25.39,MARKET_TRADE
f6eacb9c-2bbb-4a10-beff-ca9c05aaf997,2020-10-05,CBD,NZX,12,0.880,SELL,,0.05280,NZD,10.51,MARKET_TRADE
f6eacb9c-2bbb-4a10-beff-ca9c05aaf997,2020-10-05,CBD,NZX,57,0.880,SELL,,0.25080,NZD,49.91,MARKET_TRADE
f6eacb9c-2bbb-4a10-beff-ca9c05aaf997,2020-10-05,CBD,NZX,10,0.880,SELL,,0.04400,NZD,8.76,MARKET_TRADE
f6eacb9c-2bbb-4a10-beff-ca9c05aaf997,2020-10-05,CBD,NZX,23,0.880,SELL,,0.10120,NZD,20.14,MARKET_TRADE
f6eacb9c-2bbb-4a10-beff-ca9c05aaf997,2020-10-05,CBD,NZX,72.333333,0.880,SELL,,0.31827,NZD,63.34,MARKET_TRADE
f6eacb9c-2bbb-4a10-beff-ca9c05aaf997,2020-10-05,CBD,NZX,7,0.880,SELL,,0.03080,NZD,6.13,MARKET_TRADE
f6eacb9c-2bbb-4a10-beff-ca9c05aaf997,2020-10-05,CBD,NZX,12,0.880,SELL,,0.05280,NZD,10.51,MARKET_TRADE
d2b57fbb-7c92-4e66-ae4b-45ce8993c4d7,2020-10-30,CBD,NZX,124.375000,0.800,BUY,,0.50000,NZD,100.00,MARKET_TRADE
af4399ba-791c-4392-8150-a15f8d38d5de,2020-10-30,RUA,NZX,153.076923,0.650,BUY,,0.50000,NZD,100.00,MARKET_TRADE
a6392b56-ad3b-4294-8232-0e1e92cf53c7,2020-10-30,CBD,NZX,124.375,0.650,SELL,,0.40422,NZD,80.44,MARKET_TRADE
ded42fec-90b8-460a-8d98-3f452e1ce890,2020-10-30,RUA,NZX,153.076923,0.610,SELL,,0.46688,NZD,92.91,MARKET_TRADE
d33b4cfc-5188-4f17-89e9-dd57e2b2b3ea,2021-01-11,ATM,NZX,1,11.490,SELL,,0.05745,NZD,11.43,MARKET_TRADE
d33b4cfc-5188-4f17-89e9-dd57e2b2b3ea,2021-01-11,ATM,NZX,18,11.490,SELL,,1.03410,NZD,205.79,MARKET_TRADE
d33b4cfc-5188-4f17-89e9-dd57e2b2b3ea,2021-01-11,ATM,NZX,0.8068,11.490,SELL,,0.04635,NZD,9.22,MARKET_TRADE
874466f1-8bfe-479a-9ea7-86d408a26e26,2021-01-12,KMD,NZX,833.085325,1.270,SELL,,5.29009,NZD,1052.73,MARKET_TRADE
8f27bab8-1097-4231-9824-286e54d5ab42,2021-01-29,TNZ,NZX,343.597154,2.302,SELL,,0.00000,NZD,790.96,MARKET_TRADE
26851642-719b-48fa-a802-6fcd5d4000d5,2021-01-30,GME,NYSE,1,336.740,BUY,0.716366,1.69216,USD,338.43,MARKET_TRADE
26851642-719b-48fa-a802-6fcd5d4000d5,2021-01-30,GME,NYSE,0.667512,336.740,BUY,0.716366,1.12954,USD,225.91,MARKET_TRADE
5ccedc8f-2bf8-4fd2-b292-f7f374d63de9,2021-02-04,GME,NYSE,0.667512,99.998,SELL,1.387850,0.33375,USD,66.42,MARKET_TRADE
7c51736e-5d37-405f-804a-ed703dfe4736,2021-02-11,FNZ,NZX,145.992726,3.470,SELL,,0.00000,NZD,506.59,MARKET_TRADE
d497c5c9-91fd-464f-a594-e06d6b3fa4b6,2021-02-15,AIR,NZX,298,1.555,SELL,,2.31695,NZD,461.07,MARKET_TRADE
d497c5c9-91fd-464f-a594-e06d6b3fa4b6,2021-02-15,AIR,NZX,66,1.555,SELL,,0.51315,NZD,102.12,MARKET_TRADE
d497c5c9-91fd-464f-a594-e06d6b3fa4b6,2021-02-15,AIR,NZX,136.982214,1.555,SELL,,1.06504,NZD,211.94,MARKET_TRADE
